# Tiempo (s) 	 Tensión CH1 (V) 	 Tensión CH2 (V)
-4.300000000000002876e-06	-1.000000000000000000e+01	-8.000000000000000383e-04
-4.200000000000003833e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-4.100000000000001403e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-4.000000000000002360e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-3.900000000000003318e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-3.800000000000000887e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-3.700000000000001844e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-3.600000000000002802e-06	-1.020000000000000107e+01	-8.000000000000000383e-04
-3.500000000000003759e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-3.400000000000001328e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-3.300000000000002286e-06	-1.020000000000000107e+01	0.000000000000000000e+00
-3.200000000000003243e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-3.100000000000000813e-06	-1.020000000000000107e+01	0.000000000000000000e+00
-3.000000000000001770e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.900000000000002728e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.800000000000003685e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.700000000000001254e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.600000000000002212e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.500000000000003169e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.400000000000000738e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.300000000000001696e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.200000000000002653e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.100000000000003611e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.000000000000001180e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-1.900000000000002137e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-1.800000000000003095e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-1.700000000000000664e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-1.600000000000001622e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-1.500000000000002579e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-1.400000000000003537e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-1.300000000000001106e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-1.200000000000002063e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-1.100000000000003021e-06	-1.000000000000000000e+01	-4.000000000000000192e-04
-1.000000000000000590e-06	-1.020000000000000107e+01	-4.000000000000000192e-04
-9.000000000000015475e-07	-1.000000000000000000e+01	-4.000000000000000192e-04
-8.000000000000025049e-07	-1.000000000000000000e+01	-4.000000000000000192e-04
-7.000000000000034623e-07	-1.000000000000000000e+01	-4.000000000000000192e-04
-6.000000000000010316e-07	-1.020000000000000107e+01	-4.000000000000000192e-04
-5.000000000000019891e-07	-1.020000000000000107e+01	-4.000000000000000192e-04
-4.000000000000029465e-07	-1.000000000000000000e+01	0.000000000000000000e+00
-3.000000000000039040e-07	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.000000000000014733e-07	-1.020000000000000107e+01	0.000000000000000000e+00
-1.000000000000024307e-07	-1.020000000000000107e+01	-4.000000000000000192e-04
-3.388131789017201356e-21	-1.000000000000000000e+01	-4.000000000000000192e-04
9.999999999999904256e-08	-1.000000000000000000e+01	-4.000000000000000192e-04
1.999999999999980851e-07	-1.000000000000000000e+01	0.000000000000000000e+00
2.999999999999971277e-07	-1.000000000000000000e+01	-4.000000000000000192e-04
3.999999999999961703e-07	-9.800000000000000711e+00	-4.000000000000000192e-04
4.999999999999986009e-07	-1.020000000000000107e+01	0.000000000000000000e+00
5.999999999999976435e-07	-5.200000000000000178e+00	0.000000000000000000e+00
6.999999999999966861e-07	3.800000000000000266e+00	2.400000000000000223e-03
7.999999999999991168e-07	8.000000000000000000e+00	4.000000000000000192e-04
8.999999999999981593e-07	9.200000000000001066e+00	1.200000000000000112e-03
9.999999999999972019e-07	9.600000000000001421e+00	8.000000000000000383e-04
1.099999999999996244e-06	9.600000000000001421e+00	0.000000000000000000e+00
1.199999999999998675e-06	9.400000000000000355e+00	4.000000000000000192e-04
1.299999999999997718e-06	9.400000000000000355e+00	0.000000000000000000e+00
1.399999999999996760e-06	9.600000000000001421e+00	0.000000000000000000e+00
1.499999999999999191e-06	9.600000000000001421e+00	4.000000000000000192e-04
1.599999999999998234e-06	9.400000000000000355e+00	0.000000000000000000e+00
1.699999999999997276e-06	9.600000000000001421e+00	0.000000000000000000e+00
1.799999999999996319e-06	9.400000000000000355e+00	0.000000000000000000e+00
