tiempo (s),señal CH1 (mV),señal CH2 (V)
0.00222,24.8,-9
0.00222,24,-9
0.00222,25.6,-9
0.00223,24.8,-9
0.00223,26.4,-9.2
0.00224,24,-9
0.00224,24.8,-9
0.00224,24.8,-9
0.00225,24.8,-9
0.00225,24.8,-9
0.00226,24.8,-9
0.00226,25.6,-9
0.00226,25.6,-9
0.00227,25.6,-9.2
0.00227,24,-9
0.00228,24.8,-9
0.00228,24.8,-9
0.00228,24.8,-9
0.00229,24.8,-9
0.00229,24.8,-9
0.0023,24.8,-9
0.0023,25.6,-9
0.0023,24,-9
0.00231,25.6,-9
0.00231,24.8,-9
0.00231,24.8,-9
0.00232,25.6,-9
0.00232,26.4,-9
0.00233,25.6,-9
0.00233,25.6,-9
0.00233,24.8,-9
0.00234,25.6,-9
0.00234,24,-9
0.00235,27.2,-9
0.00235,24.8,-9.2
0.00235,26.4,-9
0.00236,25.6,-9
0.00236,25.6,-9.2
0.00237,25.6,-9
0.00237,26.4,-8.8
0.00237,24.8,-9
0.00238,25.6,-9
0.00238,26.4,-9
0.00239,25.6,-9
0.00239,26.4,-9
0.0024,25.6,-9
0.0024,24,-9
0.0024,26.4,-8.8
0.00241,25.6,-9
0.00241,24.8,-9
0.00242,24.8,-9
0.00242,24.8,-9
0.00242,25.6,-9
0.00243,24.8,-9
0.00243,26.4,-9
0.00244,24,-9
0.00244,24.8,-9
0.00244,24,-9
0.00245,24.8,-9
0.00245,24.8,-9
0.00246,26.4,-9
0.00246,24.8,-9
0.00246,24.8,-9
0.00247,24.8,-9
0.00247,26.4,-9
0.00248,25.6,-9
0.00248,24.8,-8.8
0.00248,25.6,-9
0.00249,25.6,-9
0.00249,25.6,-9
0.00249,25.6,-9
0.0025,25.6,-9
0.0025,25.6,-9
0.00251,25.6,-9
0.00251,25.6,-9
0.00251,27.2,-9
0.00252,27.2,-9
0.00252,26.4,-9
0.00253,26.4,-9
0.00253,26.4,-9
0.00253,26.4,-9
0.00254,28,-9
0.00254,27.2,-9
0.00255,26.4,-9
0.00255,26.4,-9
0.00256,27.2,-8.8
0.00256,25.6,-9
0.00256,27.2,-9
0.00257,26.4,-8.8
0.00257,27.2,-9
0.00258,26.4,-8.8
0.00258,27.2,-9
0.00258,24.8,-9
0.00259,25.6,-8.8
0.00259,24.8,-9
0.00259,26.4,-8.8
0.0026,24.8,-9
0.0026,25.6,-9
0.00261,24,-9
0.00261,26.4,-9
0.00262,25.6,-9
0.00262,25.6,-9
0.00262,25.6,-9
0.00263,25.6,-9
0.00263,24.8,-9
0.00264,25.6,-8.8
0.00264,24.8,-9
0.00264,24.8,-9
0.00265,24.8,-8.8
0.00265,25.6,-8.8
0.00266,25.6,-9
0.00266,24.8,-9
0.00266,24.8,-8.8
0.00267,24.8,-9
0.00267,24.8,-9
0.00268,24.8,-9
0.00268,23.2,-8.8
0.00268,24.8,-8.8
0.00269,24.8,-8.6
0.00269,24.8,-8.8
0.00269,24.8,-8.8
0.0027,24,-8.8
0.0027,24.8,-9
0.00271,24.8,-8.8
0.00271,24.8,-8.6
0.00272,23.2,-9
0.00272,24,-8.6
0.00272,22.4,-9
0.00273,24,-8.8
0.00273,24.8,-9
0.00274,24,-9
0.00274,23.2,-9
0.00274,24,-9
0.00275,24,-8.8
0.00275,24.8,-9
0.00276,23.2,-8.8
0.00276,24,-9
0.00276,24.8,-9
0.00277,24.8,-9
0.00277,24,-9
0.00278,23.2,-8.8
0.00278,24,-8.8
0.00278,24,-9
0.00279,23.2,-9
0.00279,21.6,-8.8
0.0028,20,-9
0.0028,19.2,-8.8
0.0028,16.8,-8.6
0.00281,14.4,-9
0.00281,12.8,-8.8
0.00281,10.4,-8.8
0.00282,8.8,-8.8
0.00282,4,-9
0.00283,2.4,-8.8
0.00283,-1.6,-8.8
0.00283,-4,-8.8
0.00284,-6.4,-9
0.00284,-9.6,-8.8
0.00285,-12,-8.8
0.00285,-14.4,-9
0.00285,-18.4,-8.8
0.00286,-21.6,-8.8
0.00286,-24,-8.6
0.00287,-25.6,-8.8
0.00287,-28,-9
0.00288,-29.6,-9
0.00288,-32,-9
0.00288,-32.8,-8.8
0.00289,-36.8,-8.8
0.00289,-37.6,-8.8
0.0029,-39.2,-9
0.0029,-40.8,-8.8
0.0029,-42.4,-9
0.00291,-42.4,-8.8
0.00291,-43.2,-8.8
0.00292,-44,-8.8
0.00292,-44,-9
0.00292,-44.8,-9
0.00293,-44,-8.8
0.00293,-44.8,-8.6
0.00294,-43.2,-8.8
0.00294,-44.8,-8.8
0.00294,-44.8,-8.8
0.00295,-44,-9
0.00295,-44,-8.8
0.00296,-43.2,-8.8
0.00296,-42.4,-9
0.00296,-41.6,-9
0.00297,-40,-8.8
0.00297,-39.2,-9
0.00298,-36,-8.8
0.00298,-35.2,-9
0.00298,-32.8,-9
0.00299,-31.2,-9
0.00299,-27.2,-8.8
0.00299,-25.6,-9
0.003,-22.4,-8.8
0.003,-20,-9
0.00301,-16,-9
0.00301,-14.4,-8.8
0.00301,-10.4,-9
0.00302,-9.6,-9
0.00302,-5.6,-9
0.00303,-4.8,-9
0.00303,-1.6,-8.8
0.00304,2.4,-9
0.00304,2.4,-9
0.00305,5.6,-8.8
0.00305,6.4,-8.8
0.00306,8,-8.8
0.00306,9.6,-9
0.00306,9.6,-8.8
0.00307,13.6,-8.8
0.00307,13.6,-8.8
0.00308,14.4,-8.8
0.00308,15.2,-8.8
0.00308,16,-8.8
0.00309,17.6,-8.8
0.00309,18.4,-9
0.0031,19.2,-8.8
0.0031,20.8,-9
0.0031,20,-9
0.00311,20.8,-8.8
0.00311,20.8,-8.8
0.00312,21.6,-9
0.00312,20.8,-8.8
0.00312,20,-8.8
0.00313,20,-9
0.00313,21.6,-9
0.00314,20.8,-9
0.00314,20.8,-9
0.00314,20.8,-8.8
0.00315,21.6,-9
0.00315,21.6,-8.8
0.00316,23.2,-8.8
0.00316,23.2,-8.8
0.00316,23.2,-8.8
0.00317,24,-9
0.00317,24.8,-8.8
0.00318,24.8,-8.8
0.00318,25.6,-8.8
0.00318,24.8,-8.8
0.00319,26.4,-9
