tiempo (s),señal CH1 (mV),señal CH2 (V)
0.00876,56,-9
0.00877,56,-9
0.00877,57.6,-9
0.00877,56,-9
0.00878,56.8,-9
0.00878,56.8,-8.8
0.00879,55.2,-8.8
0.00879,56,-8.8
0.0088,57.6,-8.8
0.0088,57.6,-9
0.0088,56,-9
0.00881,56.8,-8.8
0.00881,56.8,-9
0.00881,57.6,-9
0.00882,56.8,-9
0.00882,57.6,-9
0.00883,56.8,-9
0.00883,57.6,-9
0.00884,58.4,-9
0.00884,57.6,-9
0.00884,57.6,-9
0.00885,59.2,-9
0.00885,58.4,-9
0.00886,57.6,-8.8
0.00886,56.8,-9
0.00886,58.4,-9
0.00887,57.6,-9
0.00887,59.2,-9
0.00887,56.8,-8.8
0.00888,58.4,-8.8
0.00888,59.2,-9
0.00889,59.2,-8.8
0.00889,59.2,-9
0.0089,59.2,-9
0.0089,59.2,-9
0.0089,59.2,-8.8
0.00891,59.2,-9
0.00891,59.2,-9
0.00892,58.4,-9
0.00892,59.2,-9
0.00892,60,-9
0.00893,59.2,-9
0.00893,59.2,-9
0.00894,60,-9
0.00894,60,-9
0.00894,59.2,-9
0.00895,60,-8.8
0.00895,59.2,-8.8
0.00895,60,-8.8
0.00896,59.2,-8.8
0.00896,58.4,-9
0.00897,59.2,-9
0.00897,59.2,-8.8
0.00898,59.2,-9
0.00898,58.4,-9
0.00898,57.6,-9
0.00899,59.2,-9
0.00899,59.2,-8.8
0.009,59.2,-9
0.009,56,-8.8
0.009,59.2,-8.8
0.00901,56,-8.8
0.00901,56.8,-8.8
0.00902,56.8,-9
0.00902,58.4,-8.8
0.00902,56,-9
0.00903,56,-8.8
0.00903,55.2,-9
0.00903,56,-9
0.00904,56,-8.8
0.00904,55.2,-9
0.00905,53.6,-9
0.00905,53.6,-8.8
0.00906,54.4,-8.8
0.00906,53.6,-9
0.00906,52.8,-9
0.00907,52.8,-8.8
0.00907,52.8,-8.8
0.00908,52.8,-9
0.00908,53.6,-8.8
0.00908,52,-9
0.00909,52,-8.8
0.00909,52.8,-9
0.0091,51.2,-9
0.0091,51.2,-9
0.0091,50.4,-9
0.00911,49.6,-8.8
0.00911,49.6,-9
0.00911,49.6,-9
0.00912,49.6,-8.8
0.00912,47.2,-9
0.00913,48.8,-8.8
0.00913,46.4,-9
0.00914,48,-8.8
0.00914,46.4,-8.8
0.00914,47.2,-8.8
0.00915,45.6,-9
0.00915,45.6,-9
0.00915,46.4,-9
0.00916,46.4,-8.8
0.00916,45.6,-8.8
0.00917,45.6,-9
0.00917,44,-9
0.00918,45.6,-8.8
0.00918,44,-9
0.00918,43.2,-8.8
0.00919,43.2,-9
0.00919,43.2,-8.8
0.0092,42.4,-9
0.0092,42.4,-9
0.0092,42.4,-9
0.00921,43.2,-8.8
0.00921,42.4,-9
0.00921,41.6,-9
0.00922,41.6,-8.8
0.00922,40.8,-9
0.00923,42.4,-9
0.00923,40,-9
0.00924,41.6,-9
0.00924,39.2,-9
0.00924,38.4,-9
0.00925,38.4,-9
0.00925,38.4,-8.8
0.00925,36.8,-9
0.00926,37.6,-8.8
0.00926,36.8,-9
0.00927,36,-9
0.00927,35.2,-8.8
0.00928,36.8,-9
0.00928,34.4,-9
0.00928,35.2,-9
0.00929,33.6,-8.8
0.00929,34.4,-9
0.00929,33.6,-9
0.0093,32.8,-8.8
0.0093,32,-9
0.00931,31.2,-8.6
0.00931,30.4,-9
0.00932,31.2,-9
0.00932,30.4,-9
0.00932,30.4,-9
0.00933,28.8,-9
0.00933,28.8,-9.2
0.00933,28,-9
0.00934,28,-8.8
0.00934,28,-9
0.00935,27.2,-8.8
0.00935,27.2,-9
0.00936,25.6,-9
0.00936,25.6,-8.8
0.00936,24.8,-9
0.00937,24.8,-9
0.00937,24,-9
0.00937,24,-9
0.00938,23.2,-9
0.00938,23.2,-9
0.00939,21.6,-9
0.00939,22.4,-9
0.0094,20,-9
0.0094,20.8,-9
0.0094,19.2,-9
0.00941,20.8,-8.8
0.00941,19.2,-8.8
0.00942,19.2,-8.8
0.00942,18.4,-8.8
0.00942,17.6,-8.8
0.00943,18.4,-9
0.00943,16.8,-9
0.00944,17.6,-9
0.00944,16.8,-8.8
0.00944,16.8,-9
0.00945,17.6,-9
0.00945,16.8,-9
0.00945,16.8,-9
0.00946,16.8,-8.8
0.00946,16,-8.8
0.00947,17.6,-9
0.00947,15.2,-9
0.00948,15.2,-9
0.00948,13.6,-9
0.00948,14.4,-9
0.00949,15.2,-9
0.00949,13.6,-9
0.0095,15.2,-9
0.0095,15.2,-9
0.0095,12.8,-8.8
0.00951,14.4,-9
0.00951,14.4,-9
0.00951,14.4,-9
0.00952,12.8,-9
0.00952,13.6,-8.8
0.00953,12,-9
0.00953,12.8,-9
0.00954,11.2,-8.8
0.00954,12,-9
0.00954,12,-9
0.00955,11.2,-8.8
0.00955,10.4,-8.8
0.00955,9.6,-9
0.00956,9.6,-9
0.00956,10.4,-8.8
0.00957,9.6,-9
0.00957,8.8,-9
0.00958,9.6,-9
0.00958,9.6,-9
0.00958,8.8,-9
0.00959,8,-8.8
0.00959,9.6,-9
0.00959,8.8,-8.8
0.0096,7.2,-9
0.0096,7.2,-8.8
0.00961,6.4,-9
0.00961,8,-8.8
0.00962,8,-9
0.00962,6.4,-8.8
0.00962,7.2,-9
0.00963,6.4,-9
0.00963,6.4,-8.8
0.00963,5.6,-9
0.00964,8,-9
0.00964,5.6,-9
0.00965,6.4,-8.8
0.00965,6.4,-9
0.00966,6.4,-9
0.00966,4.8,-9
0.00966,5.6,-8.8
0.00967,5.6,-9
0.00967,6.4,-8.8
0.00967,5.6,-9
0.00968,6.4,-8.8
0.00968,4.8,-8.8
0.00969,5.6,-9
0.00969,3.2,-9
0.0097,5.6,-8.8
0.0097,4.8,-8.8
0.0097,4,-8.8
0.00971,4.8,-9
0.00971,4.8,-9
0.00971,6.4,-9
0.00972,4.8,-8.8
0.00972,5.6,-8.8
0.00973,4.8,-8.8
0.00973,4.8,-9.2
0.00974,5.6,-9
0.00974,6.4,-9
0.00974,6.4,-8.8
0.00975,6.4,-9
0.00975,6.4,-8.8
0.00975,6.4,-9
0.00976,6.4,-9
0.00976,7.2,-9
0.00977,7.2,-9
0.00977,8,-9
0.00978,7.2,-8.8
0.00978,8.8,-9
0.00978,8.8,-9
0.00979,8.8,-9
0.00979,8,-9
0.00979,8.8,-9
0.0098,8,-9
0.0098,9.6,-9
0.00981,8,-9
0.00981,11.2,-9
0.00982,8,-9
0.00982,9.6,-8.8
0.00982,9.6,-9
0.00983,10.4,-9
0.00983,9.6,-8.8
0.00984,11.2,-9
0.00984,10.4,-9
0.00984,12,-9
0.00985,9.6,-9
0.00985,12,-9
0.00985,10.4,-9
0.00986,10.4,-9
0.00986,11.2,-9
0.00987,12,-9
0.00987,11.2,-8.8
0.00988,12,-8.8
0.00988,12,-9
0.00988,12,-9
0.00989,12,-9
0.00989,12.8,-9
0.00989,13.6,-9
0.0099,12,-9
0.0099,12.8,-8.6
0.00991,12.8,-9
0.00991,14.4,-8.8
0.00992,13.6,-8.8
0.00992,13.6,-9
0.00992,15.2,-9
0.00993,15.2,-8.8
0.00993,15.2,-9
0.00993,16,-8.8
0.00994,13.6,-9
0.00994,16,-9
0.00995,16,-9
0.00995,16,-9
0.00996,16.8,-8.8
0.00996,17.6,-8.8
0.00996,16.8,-9
0.00997,16.8,-8.8
0.00997,16.8,-9
0.00997,19.2,-8.8
0.00998,19.2,-9
0.00998,18.4,-8.8
0.00999,19.2,-9
0.00999,19.2,-9
0.01,20,-8.8
