tiempo (s),señal CH1a (mV),señal CH1b (mV),señal CH2 (V)
0.00169,24.8,26.4,-8.8
0.0017,24,25.6,-8.8
0.0017,24.8,25.6,-8.8
0.00171,25.6,24.8,-8.8
0.00171,24,26.4,-9
0.00171,24,25.6,-9
0.00172,24,25.6,-9
0.00172,24,24.8,-8.8
0.00173,24,26.4,-8.8
0.00173,24,24.8,-8.8
0.00173,24,24.8,-8.8
0.00174,24.8,26.4,-9
0.00174,24,27.2,-8.8
0.00175,24.8,26.4,-8.8
0.00175,24,24.8,-8.8
0.00176,23.2,26.4,-8.8
0.00176,24,24.8,-8.8
0.00176,24.8,26.4,-9
0.00177,24.8,24.8,-9
0.00177,24.8,27.2,-8.8
0.00178,24.8,24.8,-9
0.00178,24.8,24.8,-8.8
0.00178,24.8,25.6,-8.8
0.00179,24.8,26.4,-8.8
0.00179,24,24.8,-8.8
0.00179,24,25.6,-9
0.0018,23.2,24.8,-8.8
0.0018,23.2,25.6,-8.8
0.00181,23.2,25.6,-8.8
0.00181,23.2,26.4,-8.8
0.00182,23.2,25.6,-8.8
0.00182,23.2,27.2,-9
0.00182,24,26.4,-8.8
0.00183,24,27.2,-8.8
0.00183,24.8,26.4,-8.8
0.00184,24,26.4,-8.8
0.00184,24,27.2,-9
0.00184,22.4,26.4,-8.8
0.00185,22.4,26.4,-8.8
0.00185,23.2,27.2,-9
0.00186,24,27.2,-8.8
0.00186,22.4,27.2,-9
0.00186,22.4,27.2,-9
0.00187,24,25.6,-8.8
0.00187,24,26.4,-9
0.00187,21.6,26.4,-9
0.00188,21.6,25.6,-9
0.00188,23.2,26.4,-9
0.00189,24.8,26.4,-9
0.00189,24,25.6,-8.8
0.0019,24.8,27.2,-9
0.0019,23.2,26.4,-8.8
0.0019,24,25.6,-8.8
0.00191,23.2,25.6,-8.8
0.00191,24,25.6,-8.8
0.00192,24,25.6,-9
0.00192,24,24.8,-9
0.00192,24.8,24,-8.8
0.00193,24.8,24.8,-8.8
0.00193,24,24,-9
0.00194,24.8,25.6,-9
0.00194,24,24,-8.8
0.00194,25.6,24.8,-8.8
0.00195,24.8,24.8,-9
0.00195,24.8,24.8,-9
0.00196,24.8,23.2,-9
0.00196,24.8,24.8,-9
0.00196,24,24.8,-8.8
0.00197,24.8,25.6,-9
0.00197,26.4,26.4,-9
0.00198,24.8,24.8,-8.8
0.00198,25.6,24.8,-8.8
0.00198,24,24.8,-8.8
0.00199,26.4,24.8,-9
0.00199,25.6,25.6,-9
0.00199,26.4,25.6,-9
0.002,25.6,24,-9
0.002,25.6,24.8,-9
0.00201,25.6,24.8,-9
0.00201,26.4,24.8,-9
0.00202,24.8,24.8,-9
0.00202,25.6,24.8,-9
0.00202,25.6,24.8,-9
0.00203,25.6,24.8,-9
0.00203,24.8,24.8,-9
0.00204,25.6,24.8,-9
0.00204,25.6,25.6,-9
0.00204,26.4,26.4,-9
0.00205,24.8,24.8,-9
0.00205,25.6,24.8,-9
0.00206,25.6,24.8,-9.2
0.00206,26.4,25.6,-9
0.00206,25.6,24.8,-9
0.00207,25.6,25.6,-9
0.00207,25.6,24.8,-9
0.00208,25.6,24.8,-9
0.00208,25.6,24,-9
0.00208,24.8,24.8,-9
0.00209,24.8,24,-9
0.00209,25.6,25.6,-8.8
0.0021,24.8,24.8,-9
0.0021,24.8,24.8,-9
0.0021,24.8,24.8,-9
0.00211,24,24.8,-9
0.00211,24.8,24.8,-9
0.00212,24,24,-9
0.00212,24.8,23.2,-9
0.00212,24,24.8,-9
0.00213,24.8,24.8,-9.2
0.00213,24,24.8,-9
0.00214,25.6,23.2,-9
0.00214,23.2,24.8,-9
0.00214,24.8,24.8,-9
0.00215,24.8,24,-8.8
0.00215,24.8,24,-9
0.00216,24.8,23.2,-9
0.00216,24.8,24.8,-9.2
0.00216,24,23.2,-9
0.00217,24.8,24.8,-9
0.00217,24.8,23.2,-9
0.00218,23.2,24,-9
0.00218,24.8,23.2,-9
0.00218,24.8,23.2,-9
0.00219,24.8,24,-9
0.00219,24.8,24.8,-9
0.00219,24.8,24,-9
0.0022,25.6,24.8,-9
0.0022,23.2,23.2,-9.2
0.00221,24.8,24.8,-9
0.00221,24,24.8,-9
0.00222,24,24.8,-9
0.00222,24,24,-9
0.00222,24,25.6,-9
0.00223,24,24.8,-9
0.00223,24.8,26.4,-9.2
0.00224,24,24,-9
0.00224,24,24.8,-9
0.00224,24,24.8,-9
0.00225,24.8,24.8,-9
0.00225,24.8,24.8,-9
0.00226,24,24.8,-9
0.00226,25.6,25.6,-9
0.00226,23.2,25.6,-9
0.00227,24.8,25.6,-9.2
0.00227,24.8,24,-9
0.00228,24.8,24.8,-9
0.00228,24,24.8,-9
0.00228,24,24.8,-9
0.00229,23.2,24.8,-9
0.00229,24.8,24.8,-9
0.0023,24.8,24.8,-9
0.0023,24.8,25.6,-9
0.0023,24.8,24,-9
0.00231,24.8,25.6,-9
0.00231,24,24.8,-9
0.00231,25.6,24.8,-9
0.00232,24.8,25.6,-9
0.00232,24.8,26.4,-9
0.00233,25.6,25.6,-9
0.00233,25.6,25.6,-9
0.00233,24.8,24.8,-9
0.00234,24.8,25.6,-9
0.00234,23.2,24,-9
0.00235,26.4,27.2,-9
0.00235,24.8,24.8,-9.2
0.00235,24.8,26.4,-9
0.00236,25.6,25.6,-9
0.00236,24.8,25.6,-9.2
0.00237,24.8,25.6,-9
0.00237,24,26.4,-8.8
0.00237,24,24.8,-9
0.00238,24,25.6,-9
0.00238,24,26.4,-9
0.00239,24.8,25.6,-9
0.00239,24.8,26.4,-9
0.0024,23.2,25.6,-9
0.0024,24,24,-9
0.0024,22.4,26.4,-8.8
0.00241,24,25.6,-9
0.00241,23.2,24.8,-9
0.00242,24.8,24.8,-9
0.00242,22.4,24.8,-9
0.00242,24,25.6,-9
0.00243,23.2,24.8,-9
0.00243,23.2,26.4,-9
0.00244,24,24,-9
0.00244,24,24.8,-9
0.00244,23.2,24,-9
0.00245,22.4,24.8,-9
0.00245,22.4,24.8,-9
0.00246,23.2,26.4,-9
0.00246,22.4,24.8,-9
0.00246,23.2,24.8,-9
0.00247,24.8,24.8,-9
0.00247,23.2,26.4,-9
0.00248,24,25.6,-9
0.00248,23.2,24.8,-8.8
0.00248,24,25.6,-9
0.00249,24,25.6,-9
0.00249,22.4,25.6,-9
0.00249,23.2,25.6,-9
0.0025,23.2,25.6,-9
0.0025,22.4,25.6,-9
0.00251,24.8,25.6,-9
